id,name,modality,primary_area,pattern,equipment,media,contraindications,created_at,notes,movement_pattern,plane_of_motion,primary_muscle_group,secondary_muscle_groups,equipment_category,exercise_complexity,tags
12360b92-0e8f-4213-8fa5-7bf4ff9ccbc2,New Exercise,mobility,na,na,[],,,2025-11-07 15:07:45.333418+00,,,,,,,,[]
1294ab08-c9e2-40cc-85f1-71947d38a256,Easy flat jog/walk,running,na,na,[],,,2025-11-03 08:38:28.479593+00,,,,,,,,"[""back"",""upper""]"
143f6079-f6d1-4bfd-8b0d-936cb0e01693,Tall Kneeling Landmine Press,strength,na,na,[],"{""youtube"":""https://www.youtube.com/watch?v=5aBlEtgiL44""}",,2025-11-03 08:38:53.190504+00,,,,,,,,[]
14a09602-b619-4562-84af-20b70212ed75,AMRAP Engine 12 min,cardio,na,na,[],,,2025-11-03 10:08:46.573295+00,,,,,,,,[]
1736766e-efce-44a3-8f57-ee6f9c6defea,DB Hip Thrust,strength,lower,hinge,"[""dumbbell"",""bench""]","{""youtube"":""https://www.youtube.com/watch?v=SGZK0YZmEpU""}","{""max_db_kg"":6}",2025-10-24 17:54:38.67875+00,"Sit with your upper back against a bench, place a dumbbell across your hips, then drive through your heels to lift your hips until your body forms a straight line from shoulders to knees, squeezing your glutes at the top.",,,,,,,"[""glutes"",""posterior"",""teen-safe"",""primary"",""lower""]"
17b4533b-fa0f-48e4-9155-0860cd41ad23,Burpees,cardio,full,hinge,"[""bodyweight""]","{""youtube"":""https://youtube.com/shorts/1rfWwNu-eG8""}",,2025-10-24 22:49:07.59794+00,Jumping Forward,,,,,,,"[""hyrox"",""conditioning"",""low-impact"",""teen-safe""]"
193f1b22-1cba-4d8b-a275-e25b39d462cb,Single Arm DB Row,strength,upper,na,"[""dumbbell""]","{""youtube"":""https://www.youtube.com/watch?v=ZRSGpBUVcNw""}",,2025-10-28 14:24:24.559045+00,"Place one knee and hand on a bench for support, hold a dumbbell in the other hand, pull it toward your hip by squeezing your back muscles, then lower it slowly to the starting position.",,,,,,,"[""primary"",""back"",""upper""]"
1a512eee-d4fd-4710-aa2c-acbbd25eb349,Figure 4 Glute Stretch (Right),mobility,lower,na,[],,,2025-10-27 20:11:42.575052+00,Seated or lying figure-4 glute stretch,Static Stretch,Transverse,Glutes,,,Beginner,"[""stretch"",""static"",""glutes"",""cooldown"",""lower""]"
1ae8f1b6-941e-4bc3-9681-5009072f08b3,Cable Lateral Raise,strength,upper,push,"[""machine"",""cable""]","{""youtube"":""https://youtu.be/3VcKaXpzqRo""}","{""no_barbell"":true}",2025-10-24 17:54:38.67875+00,To shoulder height,,,,,,,"[""shoulders"",""cable"",""isolation"",""teen-safe"",""back"",""upper""]"
1d7beb33-3259-461f-9ce0-7aadf29a6564,TRX Row,strength,upper,pull,"[""trx""]","{""youtube"":""https://www.youtube.com/watch?v=yCuSGoe1gjY""}","{""no_barbell"":true}",2025-10-24 17:54:38.67875+00,Squeeze mid-back,,,,,,,"[""back"",""beginner"",""teen-safe"",""upper""]"
1e30f232-11cc-4a2b-a6c9-ed7d356c0c05,DB Shoulder Press,strength,upper,na,"[""dumbbell""]","{""youtube"":""https://www.youtube.com/watch?v=AqzDJHxynwo""}",,2025-10-28 14:24:24.559045+00,"Sit or stand with dumbbells at shoulder height, press them overhead until your arms are fully extended, then lower them back down slowly while keeping your core tight and back straight.",,,,,,,"[""primary"",""shoulders"",""upper""]"
55a63c26-9ee2-4c8f-9a7b-bfcad56c1b2b,1km Run Hyrox Pace,running,full,run,"[""road"",""treadmill""]","{""youtube"":""https://www.youtube.com/watch?v=eJfCTju-_l4""}",,2025-10-24 22:52:42.84367+00,Hyrox pace,,,,,,,"[""run"",""z2"",""engine"",""beginner"",""teen-safe""]"
917c05c6-5adf-4d3b-887e-ff2a292fa079,SkiErg,erg,full,gait,"[""skierg""]","{""youtube"":""https://youtu.be/B0lIgT5PHc8""}","{""no_barbell"":true}",2025-10-24 17:36:10.401531+00,Tall catch; lats engaged,,,,,,,"[""erg"",""ski"",""technique"",""teen-safe""]"
d035abfc-002c-438d-933f-4c304accb805,Air Squat,strength,lower,squat,"[""bodyweight""]","{""youtube"":""https://youtu.be/eNFXEEdfQp4""}","{""no_barbell"":true}",2025-10-24 17:54:38.67875+00,Below parallel; control,,,,,,,"[""legs"",""beginner"",""teen-safe"",""lower""]"
d8f8bf07-c315-40a4-ae0c-b3fcb4db74e2,RowErg,erg,full,gait,"[""rower""]","{""youtube"":""https://youtu.be/4zWu1yuJ0_g""}","{""no_barbell"":true}",2025-10-24 17:36:10.401531+00,Even split pacing; 20–24 spm,,,,,,,"[""erg"",""row"",""cardio"",""teen-safe"",""back"",""upper""]"
8833980d-fc4f-42e8-83ce-7e3c22d8c28e,Wall Balls,strength,full,squat,"[""medicine_ball""]","{""youtube"":""www.youtube.com/watch?v=fpUD0mcFp_0""}","{""no_barbell"":true}",2025-10-24 17:54:38.67875+00,Catch into squat; throw from legs,,,,,,,"[""hyrox"",""conditioning"",""teen-safe""]"
17b4533b-fa0f-48e4-9155-0860cd41ad23,Burpees,cardio,full,hinge,"[""bodyweight""]","{""youtube"":""https://youtube.com/shorts/1rfWwNu-eG8""}",,2025-10-24 22:49:07.59794+00,Jumping Forward,,,,,,,"[""hyrox"",""conditioning"",""low-impact"",""teen-safe""]"
5969d49e-1420-40dd-ab0a-3c5e54234b8d,Burpee Broad Jump,cardio,full,hinge,"[""bodyweight""]","{""youtube"":""https://www.youtube.com/watch?v=q7FF-rVgSa0""}",,2025-11-03 10:08:28.309741+00,Jumping Forward,,,,,,,"[""hyrox"",""conditioning"",""low-impact"",""teen-safe"",""primary""]"
a10d0c72-2a2d-4fe8-8e6d-c2e0f42e52c1,Sled Push,carry,full,carry,"[""sled""]","{""youtube"":""https://youtu.be/9XRRXaUpnLk""}","{""no_barbell"":true}",2025-10-24 17:54:38.67875+00,Fast short steps,,,,,,,"[""hyrox"",""sled"",""teen-safe""]"
4cf7c483-2455-4354-bea9-395f19f5c312,Sled Pull,carry,full,carry,"[""sled""]","{""youtube"":""https://youtu.be/hbCeJFBFyYk""}","{""no_barbell"":true}",2025-10-24 17:54:38.67875+00,Upright; heels down,,,,,,,"[""hyrox"",""knees"",""quads""]"
45fa718b-0f3a-41ed-a7cd-baa4bfd0f821,Farmer Carry,carry,full,carry,"[""dumbbell"",""kettlebell""]","{""youtube"":""https://youtu.be/hBu76e72MHw""}","{""no_barbell"":true}",2025-10-24 17:54:38.67875+00,Tall posture; short steps,,,,,,,"[""hyrox"",""carry"",""grip"",""teen-safe""]"
6ca8cc8f-dca0-4545-80f2-53a8170fa567,Walking Lunges,carry,lower,lunge,"[""bodyweight""]","{""youtube"":""https://www.youtube.com/watch?v=DlhojghkaQ0""}",,2025-10-24 22:50:29.879278+00,"Step forward into a lunge, lowering your back knee toward the ground, then push through your front heel to step forward into the next lunge, keeping your torso upright and core engaged.",,,,,,,"[""hyrox"",""legs"",""balance"",""teen-safe"",""primary"",""lower""]"
ebd2356a-1244-4cb2-9449-423a481e377c,Assault Bike,cardio,full,gait,"[""bike""]","{""youtube"":""https://www.youtube.com/watch?v=yvXr-9uRd1o""}","{""no_barbell"":true}",2025-10-24 17:54:38.67875+00,Powerful arms + legs,,,,,,,"[""hiit"",""bike"",""conditioning"",""teen-safe""]"

